incident_id,kind,cik,startdt,enddt,query,url,hits_total,hit_ids
TBD-05,GENERIC,1739940,2023-03-25,2024-03-25,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001739940&dateRange=custom&startdt=2023-03-25&enddt=2024-03-25,,
TBD-06,SPECIFIC,731766,2019-10-24,2020-10-24,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0000731766&dateRange=custom&startdt=2019-10-24&enddt=2020-10-24,,
TBD-06,SPECIFIC,731766,2019-10-24,2020-10-24,"""bias""",https://efts.sec.gov/LATEST/search-index?q=%22bias%22&forms=8-K%2C10-K%2C10-Q&ciks=0000731766&dateRange=custom&startdt=2019-10-24&enddt=2020-10-24,,
TBD-06,GENERIC,731766,2019-10-24,2020-10-24,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000731766&dateRange=custom&startdt=2019-10-24&enddt=2020-10-24,,
TBD-07,SPECIFIC,1617640,2021-11-02,2022-11-02,"""Zillow Offers""",https://efts.sec.gov/LATEST/search-index?q=%22Zillow%20Offers%22&forms=8-K%2C10-K%2C10-Q&ciks=0001617640&dateRange=custom&startdt=2021-11-02&enddt=2022-11-02,,
TBD-07,SPECIFIC,1617640,2021-11-02,2022-11-02,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0001617640&dateRange=custom&startdt=2021-11-02&enddt=2022-11-02,,
TBD-07,SPECIFIC,1617640,2021-11-02,2022-11-02,"""iBuying""",https://efts.sec.gov/LATEST/search-index?q=%22iBuying%22&forms=8-K%2C10-K%2C10-Q&ciks=0001617640&dateRange=custom&startdt=2021-11-02&enddt=2022-11-02,,
TBD-07,GENERIC,1617640,2021-11-02,2022-11-02,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001617640&dateRange=custom&startdt=2021-11-02&enddt=2022-11-02,,
TBD-08,SPECIFIC,1318605,2022-02-16,2023-02-16,"""phantom braking""",https://efts.sec.gov/LATEST/search-index?q=%22phantom%20braking%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2022-02-16&enddt=2023-02-16,,
TBD-08,SPECIFIC,1318605,2022-02-16,2023-02-16,"""Autopilot""",https://efts.sec.gov/LATEST/search-index?q=%22Autopilot%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2022-02-16&enddt=2023-02-16,,
TBD-08,GENERIC,1318605,2022-02-16,2023-02-16,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2022-02-16&enddt=2023-02-16,,
TBD-09,SPECIFIC,886982,2019-11-08,2020-11-08,"""Apple Card""",https://efts.sec.gov/LATEST/search-index?q=%22Apple%20Card%22&forms=8-K%2C10-K%2C10-Q&ciks=0000886982&dateRange=custom&startdt=2019-11-08&enddt=2020-11-08,,
TBD-09,SPECIFIC,886982,2019-11-08,2020-11-08,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0000886982&dateRange=custom&startdt=2019-11-08&enddt=2020-11-08,,
TBD-09,SPECIFIC,886982,2019-11-08,2020-11-08,"""credit""",https://efts.sec.gov/LATEST/search-index?q=%22credit%22&forms=8-K%2C10-K%2C10-Q&ciks=0000886982&dateRange=custom&startdt=2019-11-08&enddt=2020-11-08,,
TBD-09,GENERIC,886982,2019-11-08,2020-11-08,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000886982&dateRange=custom&startdt=2019-11-08&enddt=2020-11-08,,
TBD-10,SPECIFIC,1326801,2022-06-21,2023-06-21,"""advertising""",https://efts.sec.gov/LATEST/search-index?q=%22advertising%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2022-06-21&enddt=2023-06-21,,
TBD-10,SPECIFIC,1326801,2022-06-21,2023-06-21,"""discrimination""",https://efts.sec.gov/LATEST/search-index?q=%22discrimination%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2022-06-21&enddt=2023-06-21,,
TBD-10,SPECIFIC,1326801,2022-06-21,2023-06-21,"""housing""",https://efts.sec.gov/LATEST/search-index?q=%22housing%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2022-06-21&enddt=2023-06-21,,
TBD-10,GENERIC,1326801,2022-06-21,2023-06-21,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2022-06-21&enddt=2023-06-21,,
TBD-11,SPECIFIC,1018724,2020-06-10,2021-06-10,"""Rekognition""",https://efts.sec.gov/LATEST/search-index?q=%22Rekognition%22&forms=8-K%2C10-K%2C10-Q&ciks=0001018724&dateRange=custom&startdt=2020-06-10&enddt=2021-06-10,,
TBD-11,SPECIFIC,1018724,2020-06-10,2021-06-10,"""facial recognition""",https://efts.sec.gov/LATEST/search-index?q=%22facial%20recognition%22&forms=8-K%2C10-K%2C10-Q&ciks=0001018724&dateRange=custom&startdt=2020-06-10&enddt=2021-06-10,,
TBD-11,GENERIC,1018724,2020-06-10,2021-06-10,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001018724&dateRange=custom&startdt=2020-06-10&enddt=2021-06-10,,
TBD-12,SPECIFIC,84129,2023-12-19,2024-12-19,"""facial recognition""",https://efts.sec.gov/LATEST/search-index?q=%22facial%20recognition%22&forms=8-K%2C10-K%2C10-Q&ciks=0000084129&dateRange=custom&startdt=2023-12-19&enddt=2024-12-19,,
TBD-12,SPECIFIC,84129,2023-12-19,2024-12-19,"""FTC""",https://efts.sec.gov/LATEST/search-index?q=%22FTC%22&forms=8-K%2C10-K%2C10-Q&ciks=0000084129&dateRange=custom&startdt=2023-12-19&enddt=2024-12-19,,
TBD-12,GENERIC,84129,2023-12-19,2024-12-19,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000084129&dateRange=custom&startdt=2023-12-19&enddt=2024-12-19,,
TBD-13,SPECIFIC,1327811,2023-02-21,2024-02-21,"""Mobley""",https://efts.sec.gov/LATEST/search-index?q=%22Mobley%22&forms=8-K%2C10-K%2C10-Q&ciks=0001327811&dateRange=custom&startdt=2023-02-21&enddt=2024-02-21,,
TBD-13,SPECIFIC,1327811,2023-02-21,2024-02-21,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0001327811&dateRange=custom&startdt=2023-02-21&enddt=2024-02-21,,
TBD-13,SPECIFIC,1327811,2023-02-21,2024-02-21,"""discrimination""",https://efts.sec.gov/LATEST/search-index?q=%22discrimination%22&forms=8-K%2C10-K%2C10-Q&ciks=0001327811&dateRange=custom&startdt=2023-02-21&enddt=2024-02-21,,
TBD-13,GENERIC,1327811,2023-02-21,2024-02-21,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001327811&dateRange=custom&startdt=2023-02-21&enddt=2024-02-21,,
TBD-14,SPECIFIC,1418091,2020-09-19,2021-09-19,"""image cropping""",https://efts.sec.gov/LATEST/search-index?q=%22image%20cropping%22&forms=8-K%2C10-K%2C10-Q&ciks=0001418091&dateRange=custom&startdt=2020-09-19&enddt=2021-09-19,,
TBD-14,SPECIFIC,1418091,2020-09-19,2021-09-19,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0001418091&dateRange=custom&startdt=2020-09-19&enddt=2021-09-19,,
TBD-14,SPECIFIC,1418091,2020-09-19,2021-09-19,"""saliency""",https://efts.sec.gov/LATEST/search-index?q=%22saliency%22&forms=8-K%2C10-K%2C10-Q&ciks=0001418091&dateRange=custom&startdt=2020-09-19&enddt=2021-09-19,,
TBD-14,GENERIC,1418091,2020-09-19,2021-09-19,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001418091&dateRange=custom&startdt=2020-09-19&enddt=2021-09-19,,
TBD-15,SPECIFIC,1326801,2021-09-14,2022-09-14,"""Instagram""",https://efts.sec.gov/LATEST/search-index?q=%22Instagram%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2021-09-14&enddt=2022-09-14,,
TBD-15,SPECIFIC,1326801,2021-09-14,2022-09-14,"""well-being""",https://efts.sec.gov/LATEST/search-index?q=%22well-being%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2021-09-14&enddt=2022-09-14,,
TBD-15,SPECIFIC,1326801,2021-09-14,2022-09-14,"""teen""",https://efts.sec.gov/LATEST/search-index?q=%22teen%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2021-09-14&enddt=2022-09-14,,
TBD-15,GENERIC,1326801,2021-09-14,2022-09-14,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001326801&dateRange=custom&startdt=2021-09-14&enddt=2022-09-14,,
TBD-16,SPECIFIC,1652044,2024-02-21,2025-02-21,"""Gemini""",https://efts.sec.gov/LATEST/search-index?q=%22Gemini%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2024-02-21&enddt=2025-02-21,,
TBD-16,SPECIFIC,1652044,2024-02-21,2025-02-21,"""image""",https://efts.sec.gov/LATEST/search-index?q=%22image%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2024-02-21&enddt=2025-02-21,,
TBD-16,GENERIC,1652044,2024-02-21,2025-02-21,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2024-02-21&enddt=2025-02-21,,
TBD-17,SPECIFIC,789019,2023-02-16,2024-02-16,"""Bing""",https://efts.sec.gov/LATEST/search-index?q=%22Bing%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-02-16&enddt=2024-02-16,,
TBD-17,SPECIFIC,789019,2023-02-16,2024-02-16,"""chatbot""",https://efts.sec.gov/LATEST/search-index?q=%22chatbot%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-02-16&enddt=2024-02-16,,
TBD-17,SPECIFIC,789019,2023-02-16,2024-02-16,"""Copilot""",https://efts.sec.gov/LATEST/search-index?q=%22Copilot%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-02-16&enddt=2024-02-16,,
TBD-17,GENERIC,789019,2023-02-16,2024-02-16,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-02-16&enddt=2024-02-16,,
TBD-18,SPECIFIC,72971,2022-03-10,2023-03-10,"""algorithm""",https://efts.sec.gov/LATEST/search-index?q=%22algorithm%22&forms=8-K%2C10-K%2C10-Q&ciks=0000072971&dateRange=custom&startdt=2022-03-10&enddt=2023-03-10,,
