incident_id,kind,cik,startdt,enddt,query,url,hits_total,hit_ids
TBD-21,SPECIFIC,63908,2024-06-17,2025-06-17,"""drive-thru""",https://efts.sec.gov/LATEST/search-index?q=%22drive-thru%22&forms=8-K%2C10-K%2C10-Q&ciks=0000063908&dateRange=custom&startdt=2024-06-17&enddt=2025-06-17,,
TBD-21,SPECIFIC,63908,2024-06-17,2025-06-17,"""automated order""",https://efts.sec.gov/LATEST/search-index?q=%22automated%20order%22&forms=8-K%2C10-K%2C10-Q&ciks=0000063908&dateRange=custom&startdt=2024-06-17&enddt=2025-06-17,,
TBD-21,SPECIFIC,63908,2024-06-17,2025-06-17,"""IBM""",https://efts.sec.gov/LATEST/search-index?q=%22IBM%22&forms=8-K%2C10-K%2C10-Q&ciks=0000063908&dateRange=custom&startdt=2024-06-17&enddt=2025-06-17,,
TBD-21,GENERIC,63908,2024-06-17,2025-06-17,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000063908&dateRange=custom&startdt=2024-06-17&enddt=2025-06-17,,
TBD-22,SPECIFIC,789019,2023-10-31,2024-10-31,"""MSN""",https://efts.sec.gov/LATEST/search-index?q=%22MSN%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-10-31&enddt=2024-10-31,,
TBD-22,SPECIFIC,789019,2023-10-31,2024-10-31,"""AI-generated""",https://efts.sec.gov/LATEST/search-index?q=%22AI-generated%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-10-31&enddt=2024-10-31,,
TBD-22,GENERIC,789019,2023-10-31,2024-10-31,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2023-10-31&enddt=2024-10-31,,
TBD-23,SPECIFIC,1652044,2023-02-08,2024-02-08,"""Bard""",https://efts.sec.gov/LATEST/search-index?q=%22Bard%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2023-02-08&enddt=2024-02-08,,
TBD-23,SPECIFIC,1652044,2023-02-08,2024-02-08,"""chatbot""",https://efts.sec.gov/LATEST/search-index?q=%22chatbot%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2023-02-08&enddt=2024-02-08,,
TBD-23,GENERIC,1652044,2023-02-08,2024-02-08,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001652044&dateRange=custom&startdt=2023-02-08&enddt=2024-02-08,,
